Var1,Var2
0,671
0.684,685
1.398,713
2.11,712
2.805,695
3.481,677
4.157,677
4.854,698
5.544,691
6.223,679
6.894,671
7.588,695
8.279,691
8.95,671
9.617,666
10.31,691
10.997,685
11.67,673
12.346,676
13.046,700
13.742,695
14.415,671
15.086,669
15.771,687
16.453,683
17.132,680
17.803,672
18.467,666
19.14,675
19.795,653
20.444,648
21.094,649
21.735,641
22.37,634
23.004,633
23.645,641
24.292,648
24.942,651
25.582,641
26.225,643
26.87,645
27.525,657
28.18,656
28.83,651
29.482,647
30.142,654
30.813,665
31.467,659
32.112,650
32.757,650
33.414,659
34.072,660
34.724,654
35.375,648
36.036,659
36.716,678
37.388,673
38.053,667
38.709,658
39.384,673
40.083,697
40.789,704
41.483,695
42.16,678
42.829,670
43.512,684
44.201,690
44.901,701
45.585,684
46.252,667
46.918,666
47.595,678
48.28,685
48.965,685
49.638,673
50.302,664
50.964,662
51.633,667
52.328,694
53.029,700
53.709,680
54.381,672
55.053,672
55.747,696
56.445,700
57.132,689
57.814,681
58.488,674
59.18,692
59.911,729
60.652,740
61.348,695
62.031,683
62.714,684
63.422,709
64.121,700
64.809,688
65.484,675
66.154,670
66.831,678
67.532,702
68.217,684
68.885,668
69.556,671
70.247,689
70.944,696
71.63,685
72.298,669
72.97,672
73.668,698
74.352,684
75.023,672
75.694,672
76.401,707
77.099,697
77.796,696
78.485,684
79.155,666
79.827,668
80.494,673
81.174,686
81.868,700
82.561,691
83.235,673
83.91,674
84.606,696
85.301,694
85.982,680
86.648,669
87.321,675
88.021,702
88.735,713
89.436,700
90.116,679
90.803,682
91.528,721
92.243,711
92.93,691
93.602,676
94.278,680
94.974,692
95.695,716
96.396,696
97.062,673
97.733,678
98.428,702
99.128,696
99.813,682
100.486,670
101.153,669
101.83,678
102.533,704
103.227,695
103.906,680
104.581,676
105.272,691
105.965,693
106.653,688
107.333,680
108.01,677
108.716,706
109.425,708
110.123,698
110.806,683
111.486,680
112.179,692
112.893,713
113.588,697
114.264,678
114.94,678
115.628,686
116.321,692
117.021,699
117.699,679
118.366,668
119.036,671
119.725,689
120.41,686
121.092,683
121.762,668
122.432,669
123.1,667
123.796,695
124.486,690
125.166,680
125.833,668
126.514,681
127.204,690
127.917,714
128.619,704
129.301,684
129.988,685
130.687,697
131.412,723
132.143,733
132.837,697
133.516,682
134.214,694
134.938,721
135.646,705
136.328,683
137.015,687
137.709,694
138.424,714
139.128,703
139.806,677
140.489,680
141.187,694
141.9,709
142.593,699
143.263,676
143.933,676
144.615,682
145.329,714
146.036,707
146.725,688
147.402,677
148.101,699
148.803,698
149.488,681
150.162,670
150.844,686
151.532,693
152.206,679
152.87,665
153.542,672
154.23,688
154.927,697
155.618,690
156.285,666
156.962,675
157.649,685
158.341,690
159.032,690
159.7,667
160.37,669
161.04,673
161.723,687
162.396,677
163.06,663
163.722,662
164.398,676
165.073,677
165.743,671
166.405,663
167.062,656
167.727,664
168.397,669
169.063,667
169.719,657
170.372,654
171.039,661
171.715,671
172.389,669
173.046,661
173.699,656
174.366,670
175.047,683
175.736,690
176.42,685
177.088,666
177.764,675
178.462,697
179.151,693
179.829,681
180.5,674
181.171,668
181.85,677
182.54,688
183.235,695
183.915,681
184.582,668
185.252,670
185.943,690
186.629,685
187.306,678
187.974,669
188.644,671
189.323,678
190.02,697
190.708,688
191.382,674
192.055,674
192.75,696
193.445,695
194.138,692
194.814,675
197.568,697
198.247,679
198.917,670
199.587,671
200.267,681
200.94,674
201.6,659
202.263,663
202.94,677
203.623,682
204.308,685
204.98,672
205.646,665
206.33,684
207.02,690
209.731,674
210.416,685
211.109,693
211.799,690
212.476,677
213.158,682
213.859,699
214.571,709
215.27,696
215.938,669
216.593,655
217.252,659
217.918,668
218.591,676
219.276,688
219.975,695
220.669,691
221.35,678
222.016,670
222.704,691
223.396,695
224.096,692
224.79,687
225.494,697
226.193,706
226.883,696
227.564,687
228.242,677
228.92,678
229.621,701
230.322,700
231.01,687
231.692,681
232.373,681
233.072,700
233.773,702
234.472,700
235.156,685
235.828,673
236.509,678
237.208,697
237.909,699
238.6,694
239.277,680
239.965,691
240.684,718
241.432,747
242.173,740
