45:52.8,667
45:53.5,675
45:54.2,717
45:54.9,702
45:55.6,671
45:56.3,685
45:57.0,713
45:57.7,712
45:58.4,695
45:59.1,677
45:59.8,677
46:00.5,698
46:01.2,691
46:01.8,679
46:02.5,671
46:03.2,695
46:03.9,691
46:04.6,671
46:05.2,666
46:05.9,691
46:06.6,685
46:07.3,673
46:08.0,676
46:08.7,700
46:09.4,695
46:10.0,671
46:10.7,669
46:11.4,687
46:12.1,683
46:12.7,680
46:13.4,672
46:14.1,666
46:14.8,675
46:15.4,653
46:16.1,648
46:16.7,649
46:17.3,641
46:18.0,634
46:18.6,633
46:19.3,641
46:19.9,648
46:20.6,651
46:21.2,641
46:21.8,643
46:22.5,645
46:23.1,657
46:23.8,656
46:24.4,651
46:25.1,647
46:25.8,654
46:26.4,665
46:27.1,659
46:27.7,650
46:28.4,650
46:29.0,659
46:29.7,660
46:30.3,654
46:31.0,648
46:31.6,659
46:32.3,678
46:33.0,673
46:33.7,667
46:34.3,658
46:35.0,673
46:35.7,697
46:36.4,704
46:37.1,695
46:37.8,678
46:38.4,670
46:39.1,684
46:39.8,690
46:40.5,701
46:41.2,684
46:41.9,667
46:42.5,666
46:43.2,678
46:43.9,685
46:44.6,685
46:45.2,673
46:45.9,664
46:46.6,662
46:47.2,667
46:47.9,694
46:48.6,700
46:49.3,680
46:50.0,672
46:50.7,672
46:51.4,696
46:52.1,700
46:52.7,689
46:53.4,681
46:54.1,674
46:54.8,692
46:55.5,729
46:56.3,740
46:57.0,695
46:57.6,683
46:58.3,684
46:59.0,709
46:59.7,700
47:00.4,688
47:01.1,675
47:01.8,670
47:02.4,678
47:03.1,702
47:03.8,684
47:04.5,668
47:05.2,671
47:05.9,689
47:06.6,696
47:07.2,685
47:07.9,669
47:08.6,672
47:09.3,698
47:10.0,684
47:10.6,672
47:11.3,672
47:12.0,707
47:12.7,697
47:13.4,696
47:14.1,684
47:14.8,666
47:15.4,668
47:16.1,673
47:16.8,686
47:17.5,700
47:18.2,691
47:18.8,673
47:19.5,674
47:20.2,696
47:20.9,694
47:21.6,680
47:22.3,669
47:22.9,675
47:23.6,702
47:24.3,713
47:25.0,700
47:25.7,679
47:26.4,682
47:27.1,721
47:27.9,711
47:28.5,691
47:29.2,676
47:29.9,680
47:30.6,692
47:31.3,716
47:32.0,696
47:32.7,673
47:33.3,678
47:34.0,702
47:34.7,696
47:35.4,682
47:36.1,670
47:36.8,669
47:37.4,678
47:38.1,704
47:38.8,695
47:39.5,680
47:40.2,676
47:40.9,691
47:41.6,693
47:42.3,688
47:42.9,680
47:43.6,677
47:44.3,706
47:45.0,708
47:45.7,698
47:46.4,683
47:47.1,680
47:47.8,692
47:48.5,713
47:49.2,697
47:49.9,678
47:50.6,678
47:51.2,686
47:51.9,692
47:52.6,699
47:53.3,679
47:54.0,668
47:54.6,671
47:55.3,689
47:56.0,686
47:56.7,683
47:57.4,668
47:58.0,669
47:58.7,667
47:59.4,695
48:00.1,690
48:00.8,680
48:01.4,668
48:02.1,681
48:02.8,690
48:03.5,714
48:04.2,704
48:04.9,684
48:05.6,685
48:06.3,697
48:07.0,723
48:07.8,733
48:08.4,697
48:09.1,682
48:09.8,694
48:10.5,721
48:11.3,705
48:11.9,683
48:12.6,687
48:13.3,694
48:14.0,714
48:14.7,703
48:15.4,677
48:16.1,680
48:16.8,694
48:17.5,709
48:18.2,699
48:18.9,676
48:19.5,676
48:20.2,682
48:20.9,714
48:21.6,707
48:22.3,688
48:23.0,677
48:23.7,699
48:24.4,698
48:25.1,681
48:25.8,670
48:26.5,686
48:27.1,693
48:27.8,679
48:28.5,665
48:29.2,672
48:29.8,688
48:30.5,697
48:31.2,690
48:31.9,666
48:32.6,675
48:33.3,685
48:34.0,690
48:34.6,690
48:35.3,667
48:36.0,669
48:36.7,673
48:37.3,687
48:38.0,677
48:38.7,663
48:39.3,662
48:40.0,676
48:40.7,677
48:41.4,671
48:42.0,663
48:42.7,656
48:43.3,664
48:44.0,669
48:44.7,667
48:45.3,657
48:46.0,654
48:46.6,661
48:47.3,671
48:48.0,669
48:48.7,661
48:49.3,656
48:50.0,670
48:50.7,683
48:51.3,690
48:52.0,685
48:52.7,666
48:53.4,675
48:54.1,697
48:54.8,693
48:55.4,681
48:56.1,674
48:56.8,668
48:57.5,677
48:58.2,688
48:58.8,695
48:59.5,681
49:00.2,668
49:00.9,670
49:01.6,690
49:02.2,685
49:02.9,678
49:03.6,669
49:04.3,671
49:04.9,678
49:05.6,697
49:06.3,688
49:07.0,674
49:07.7,674
49:08.4,696
49:09.1,695
49:09.7,692
49:10.4,675
49:13.2,697
49:13.9,679
49:14.5,670
49:15.2,671
49:15.9,681
49:16.6,674
49:17.2,659
49:17.9,663
49:18.6,677
49:19.2,682
49:19.9,685
49:20.6,672
49:21.3,665
49:21.9,684
49:22.6,690
49:25.3,674
49:26.0,685
49:26.7,693
49:27.4,690
49:28.1,677
49:28.8,682
49:29.5,699
49:30.2,709
49:30.9,696
49:31.5,669
49:32.2,655
49:32.9,659
49:33.5,668
49:34.2,676
49:34.9,688
49:35.6,695
49:36.3,691
49:37.0,678
49:37.6,670
49:38.3,691
49:39.0,695
49:39.7,692
49:40.4,687
49:41.1,697
49:41.8,706
49:42.5,696
49:43.2,687
49:43.9,677
49:44.5,678
49:45.2,701
49:45.9,700
49:46.6,687
49:47.3,681
49:48.0,681
49:48.7,700
49:49.4,702
49:50.1,700
49:50.8,685
49:51.4,673
49:52.1,678
49:52.8,697
49:53.5,699
49:54.2,694
49:54.9,680
49:55.6,691
49:56.3,718
49:57.0,747
49:57.8,740
