Time,1,2,3,4,5,6,7,8,9
0.000000000,7.907383,5.679921,8.833888,8.215505,17.262296,19.701591,18.152425,22.553855,1.000325
0.008000000,9.726156,5.594332,4.267697,3.247045,7.473017,8.696945,9.507903,10.988599,-0.001070
0.016000000,13.665405,7.432362,5.838261,4.860403,11.596283,11.540650,12.743180,13.002087,-0.001070
0.024000000,9.694060,5.911012,7.241926,7.513672,14.638983,14.337281,17.187405,15.871469,-0.001070
0.032000000,11.547069,5.502323,3.946737,-3.358311,3.873987,-1.802725,5.286210,-1.169364,-0.001070
0.040000000,10.318862,5.012324,3.970275,-1.396176,4.800491,2.269187,1.447529,2.076611,-0.001070
0.048000000,9.783929,4.398221,1.381198,-3.458878,-0.461112,-3.009534,-1.980323,-3.080146,-0.001070
0.056000000,9.330306,3.989532,1.648664,-1.137268,2.814819,-1.738533,0.771374,-2.187877,-0.001070
0.064000000,10.021439,4.468832,3.334774,3.490974,11.211131,7.274022,9.905894,4.821888,-0.001070
0.072000000,13.246017,6.105728,3.272722,-1.779188,5.504463,-1.800585,7.070748,-0.075961,-0.001070
0.080000000,12.542045,6.206295,4.774814,1.988882,10.763927,7.173455,12.644752,6.741229,-0.001070
0.088000000,12.082002,5.829702,0.846264,1.205740,4.389662,4.417479,7.759742,5.159966,-0.001070
0.096000000,10.124147,4.896779,0.602335,-0.572379,3.262023,2.378313,6.623543,4.289095,-0.001070
0.104000000,7.075027,4.194946,3.473856,2.900408,11.452921,11.452921,14.581210,15.007017,-0.001070
0.112000000,8.508648,4.492369,-0.670806,-2.483160,2.033816,4.156431,7.727646,8.632753,-0.001070
0.120000000,7.541489,4.588657,1.969624,0.384082,6.858914,11.258205,11.919382,14.386495,-0.001070
0.128000000,6.978739,3.420363,-3.039491,-3.294119,-1.471066,3.020233,1.344822,6.614984,-0.001070
0.136000000,6.148523,2.523815,-5.724856,-2.938923,-6.612845,-0.307052,-5.754812,1.152246,-0.001070
