Time,1,2,3,4,5,6,7,8,9
0.000000000,6.439230,4.365328,7.484043,4.241278,13.275942,9.388468,15.814594,13.434936,1.000260
0.008000000,9.278396,4.919184,3.996673,1.321741,6.350123,3.662962,8.352391,5.892362,-0.000874
0.016000000,12.295775,6.858553,4.464917,2.551755,8.186409,5.322782,11.284158,8.184662,-0.000874
0.024000000,8.371610,5.997193,5.976227,6.439230,12.068641,10.871824,16.240906,13.483857,-0.000874
0.032000000,11.317354,6.075816,3.603557,-2.319381,3.621029,0.617628,5.778796,1.779502,-0.000874
0.040000000,9.797308,3.474266,2.983309,-4.213323,1.173231,-3.703147,0.441163,-1.662441,-0.000874
0.048000000,10.988885,2.398004,1.952473,-5.424118,-1.292039,-5.558651,-1.912288,-4.436962,-0.000874
0.056000000,10.726808,1.765525,1.987417,-2.815580,1.147023,-2.733462,1.405606,-0.750414,-0.000874
0.064000000,11.532257,0.729447,3.006022,0.014851,6.503875,3.643743,10.468225,6.281983,-0.000874
0.072000000,11.944592,7.978495,2.100983,0.497073,4.774168,2.282690,7.557424,4.590714,-0.000874
0.080000000,8.009944,9.823516,0.982788,3.979201,6.311685,7.304083,11.439657,8.317447,-0.000874
0.088000000,10.847363,6.451460,-0.156373,1.005502,2.915169,2.700266,7.076950,3.788758,-0.000874
0.096000000,9.180554,5.654746,0.000874,-0.397483,2.792866,1.513931,6.100277,3.109106,-0.000874
0.104000000,5.798015,4.024628,2.438189,1.133046,9.201520,6.095035,13.176353,10.104812,-0.000874
0.112000000,8.018680,4.641382,-0.430680,-3.577350,2.918663,0.002621,6.440977,2.532536,-0.000874
0.120000000,5.735116,4.812606,1.005502,-1.872103,5.324529,3.346722,9.596383,5.404899,-0.000874
0.128000000,5.887121,3.032230,-3.369435,-5.998940,-2.252988,-5.287838,-0.881452,-3.109106,-0.000874
0.136000000,5.429360,1.575082,-5.909834,-6.091541,-7.676233,-8.977881,-7.859686,-8.462463,-0.000874
0.144000000,5.778796,0.589673,-6.374584,-3.834185,-6.881266,-6.213843,-5.296574,-6.439230,-0.000874
0.152000000,7.611587,5.693184,-2.920410,-1.879091,-4.588967,-3.991431,-3.699652,-4.826583,-0.000874
0.160000000,3.951246,5.383933,-2.080017,0.865727,0.537258,0.818554,2.495846,1.782997,-0.000874
0.168000000,5.743852,3.877865,-0.589673,0.666549,2.340347,3.046207,6.213843,3.386907,-0.000874
0.176000000,7.279623,3.879612,-0.364287,0.055036,1.417836,1.473746,4.475400,1.887827,-0.000874
0.184000000,10.501422,5.563893,1.161001,2.356071,4.124217,3.862140,7.798535,4.999554,-0.000874
0.192000000,8.188156,2.417223,-0.654319,-3.124830,-1.059664,-3.818461,-0.739930,-2.191837,-0.000874
0.200000000,5.279102,2.425959,0.958328,-1.229141,1.382892,-0.724206,1.833665,0.647330,-0.000874
0.208000000,7.024535,6.549302,-2.434694,-1.765525,-1.229141,-3.923291,-1.447538,-1.325236,-0.000874
0.216000000,6.502128,4.118975,-2.675805,-7.393190,-2.418970,-7.066467,-2.282690,-4.208082,-0.000874
0.224000000,5.275608,5.165536,-1.870356,-6.135220,0.058531,-4.760190,0.624617,-1.236129,-0.000874
0.232000000,9.418170,2.798108,0.264698,-7.284864,0.311872,-4.625657,1.810951,-2.158640,-0.000874
0.240000000,5.413635,2.731715,0.988030,-0.327596,2.398004,1.229141,4.167896,2.242505,-0.000874
0.248000000,6.524841,5.749094,-0.652571,-0.463876,0.532016,-1.255348,1.061411,0.493578,-0.000874
0.256000000,9.596383,4.052583,1.463263,-0.282169,2.114961,0.255962,3.668203,1.541886,-0.000874
0.264000000,6.484656,4.099756,-0.130165,2.815580,2.450419,2.359566,4.276222,3.661214,-0.000874
0.272000000,7.754856,6.079311,-1.131299,0.507556,0.077749,-0.785357,1.145276,0.491831,-0.000874
0.280000000,6.895243,4.782904,-0.397483,2.324622,2.420717,2.141168,4.508596,3.600063,-0.000874
0.288000000,7.279623,5.439843,-1.924518,-1.180220,-0.151131,-1.410847,1.582071,0.151131,-0.000874
0.296000000,3.760804,6.105518,-2.929146,-2.100983,0.187822,-1.040445,2.326369,0.841267,-0.000874
0.304000000,5.149811,3.802736,1.115574,-2.628631,3.357205,-0.500567,4.286705,2.453913,-0.000874
0.312000000,6.769446,4.220312,-0.858739,-5.301816,2.088753,-2.018866,4.578484,1.140035,-0.000874
0.320000000,5.658240,5.831211,1.833665,1.854631,6.594729,5.041486,9.734410,7.487537,-0.000874
0.328000000,7.361740,5.123604,-0.387000,2.394509,3.881359,1.962956,5.537685,5.186502,-0.000874
0.336000000,3.828944,6.881266,-1.767272,1.465010,3.343228,2.445178,5.829464,5.086913,-0.000874
0.344000000,3.925038,4.368822,6.084552,3.895336,10.419304,8.284251,12.606773,10.698853,-0.000874
0.352000000,5.064199,5.962250,3.383413,2.934388,7.770580,5.411888,9.535231,8.361127,-0.000874
0.360000000,7.054237,6.446218,3.102117,5.656493,8.266779,7.674485,11.317354,9.968532,-0.000874
0.368000000,9.302857,8.792680,3.628018,5.462556,4.650118,3.648984,4.541793,5.048475,-0.000874
0.376000000,8.687849,8.638928,3.589580,4.786398,5.588353,4.340867,6.280236,6.058344,-0.000874
0.384000000,4.718258,6.109013,4.188863,3.806230,7.349510,5.263378,8.057118,7.691957,-0.000874
0.392000000,9.135127,8.188156,3.989684,-1.031709,3.865634,0.710228,4.470158,2.142915,-0.000874
0.400000000,7.244679,6.519600,5.130592,1.931507,6.931934,3.423598,7.075203,6.089794,-0.000874
0.408000000,6.371090,5.965744,3.402632,-0.542499,4.141689,-0.147637,3.180740,2.738704,-0.000874
0.416000000,4.943644,3.297801,3.072415,-3.145796,1.344455,-2.050315,0.416702,-1.012490,-0.000874
0.424000000,7.573149,3.531923,4.601197,0.462129,3.220925,0.711976,2.625137,1.552369,-0.000874
0.432000000,9.108920,9.313340,2.502834,-0.512797,0.988030,-0.511050,1.234382,-0.423691,-0.000874
0.440000000,6.337893,6.051356,6.743239,4.141689,9.379732,7.003569,10.515399,9.077470,-0.000874
0.448000000,8.663389,5.633780,8.492165,4.716511,10.742532,7.655266,11.731436,9.992992,-0.000874
0.456000000,4.870262,7.223713,5.733369,5.700173,9.919611,10.225367,13.455902,10.960930,-0.000874
0.464000000,6.720525,2.999033,11.161855,3.811472,13.896191,11.217765,16.892604,12.613761,-0.000874
0.472000000,10.871824,0.126671,10.428040,-1.592554,9.000595,2.763164,8.845096,5.114868,-0.000874
0.480000000,8.062359,-0.203546,12.460010,0.932120,13.235757,7.630806,14.180981,10.146744,-0.000874
0.488000000,11.252709,1.078883,10.132767,-0.703240,9.764112,3.236650,9.615602,6.348376,-0.000874
0.496000000,8.350644,3.477761,9.951060,-2.116708,9.115908,3.848163,9.804297,5.469545,-0.000874
0.504000000,6.720525,3.549395,11.991766,1.047434,11.369770,5.663482,10.258564,7.985483,-0.000874
0.512000000,10.927733,3.068921,11.775115,0.476106,8.721046,3.448058,7.359993,4.700786,-0.000874
0.520000000,8.340161,1.842401,12.461757,5.963997,12.166484,8.951674,11.727942,10.251575,-0.000874
0.528000000,7.864928,6.933681,7.884147,6.573762,7.842215,5.530696,6.122990,7.153826,-0.000874
0.536000000,8.312206,6.849817,7.936562,6.762458,6.046114,3.678686,2.733462,4.912195,-0.000874
0.544000000,7.433375,3.987937,11.492072,8.462463,10.206148,8.687849,8.542834,9.025055,-0.000874
0.552000000,9.556198,4.779409,7.400178,4.368822,7.124124,5.504489,7.587126,6.121243,-0.000874
0.560000000,5.120109,4.499860,6.645397,4.954127,11.425679,9.206762,13.787866,11.916637,-0.000874
0.568000000,7.494526,6.931934,7.761844,5.417130,11.343562,9.362261,13.572963,11.392483,-0.000874
0.576000000,7.538205,6.302950,8.322689,4.312912,10.054144,7.604598,11.132153,9.212003,-0.000874
0.584000000,7.295347,4.232542,8.822382,6.961636,11.582926,9.561439,12.645211,11.577684,-0.000874
0.592000000,7.090927,3.423598,7.576643,1.870356,6.248787,3.572108,5.689690,4.257003,-0.000874
0.600000000,2.770153,2.226780,7.737384,3.654226,9.980762,7.560919,10.676140,9.322076,-0.000874
0.608000000,8.731529,1.071895,5.984963,2.450419,8.878292,4.961116,10.172952,8.259790,-0.000874
0.616000000,7.059478,3.350216,6.848070,4.587219,12.833906,10.307485,16.730116,13.469879,-0.000874
0.624000000,7.096169,5.668723,7.092675,5.340254,15.735971,12.847883,21.042155,17.072563,-0.000874
0.632000000,8.583019,11.584673,2.371796,0.463876,8.855579,5.736863,13.286426,9.435642,-0.000874
0.640000000,4.440456,9.353525,3.226167,5.839947,12.365662,12.107079,18.257151,15.105239,-0.000874
0.648000000,3.940763,6.905726,3.226167,5.090407,10.281277,9.872437,14.687663,12.341201,-0.000874
0.656000000,3.884853,7.721659,3.322262,2.308898,8.525362,8.340161,13.221780,9.502035,-0.000874
0.664000000,2.990297,3.844668,2.887214,2.525548,8.371610,6.914462,11.642330,9.426906,-0.000874
0.672000000,12.030204,5.766566,4.653612,-1.796974,5.922064,1.915782,8.362874,4.141689,-0.000874
0.680000000,9.040780,3.559878,6.152692,-0.545994,6.025148,3.687422,8.212617,4.145183,-0.000874
0.688000000,9.503782,1.040445,6.832345,-1.159254,5.450326,1.066653,5.286091,2.700266,-0.000874
0.696000000,10.850857,1.360179,5.976227,-3.521440,4.802122,-0.722459,5.011784,1.582071,-0.000874
0.704000000,10.085593,0.636847,11.081485,0.411461,11.534005,5.626791,12.152506,8.474694,-0.000874
0.712000000,13.345830,1.349696,9.909128,-1.444044,10.567814,3.199959,11.273675,7.155573,-0.000874
0.720000000,12.676660,1.921024,11.673779,2.275701,13.660322,8.499154,16.078418,11.362781,-0.000874
0.728000000,14.081392,3.276835,10.276035,3.213936,12.608520,7.744373,14.846657,10.922492,-0.000874
0.736000000,11.988271,4.145183,9.117656,3.416609,12.631233,8.948179,15.980576,11.705228,-0.000874
0.744000000,7.594115,4.145183,7.845709,4.779409,15.197840,10.637702,18.468560,15.690544,-0.000874
0.752000000,9.212003,3.954741,3.046207,1.285050,3.262857,3.035724,5.742105,2.841787,-0.000874
0.760000000,9.280143,4.618669,4.894723,3.626271,3.853404,4.291946,5.268619,3.334492,-0.000874
0.768000000,10.267300,6.397297,2.752681,0.675285,-0.870969,-0.762644,-0.884946,-2.324622,-0.000874
0.776000000,8.970892,8.742012,2.258229,3.495232,-0.399230,2.134180,0.661307,-0.544246,-0.000874
0.784000000,7.566160,7.330291,5.525455,7.443858,5.134087,6.028642,4.997807,5.527202,-0.000874
0.792000000,11.399472,6.633166,3.888348,3.731102,0.039312,-0.138901,-1.564599,-1.084125,-0.000874
0.800000000,4.583725,5.366461,1.692143,5.202227,2.434694,3.336239,2.483615,3.462036,-0.000874
0.808000000,7.033271,5.998940,0.940856,4.920931,1.491218,1.573335,0.993271,2.425959,-0.000874
0.816000000,7.089180,7.366982,-2.915169,1.912288,-1.788238,-0.884946,-0.663055,-0.458635,-0.000874
0.824000000,6.572015,4.243025,0.697998,4.042099,1.772513,3.427092,3.764298,2.960595,-0.000874
0.832000000,8.415289,5.815487,1.367168,2.777142,0.691009,1.063159,1.244865,0.792346,-0.000874
0.840000000,4.779409,6.177153,6.433988,6.696065,8.385587,7.795041,8.794427,8.813646,-0.000874
0.848000000,6.958142,6.273248,4.113734,5.574376,6.276742,5.001301,6.484656,6.886507,-0.000874
0.856000000,6.617442,0.058531,4.152172,0.507556,5.100890,1.484229,5.037992,4.010650,-0.000874
0.864000000,6.558038,-1.826676,7.207988,1.910541,8.638928,3.771287,8.064106,7.176539,-0.000874
0.872000000,8.041393,0.696251,5.677459,1.262337,7.478801,2.151651,6.799149,6.180647,-0.000874
0.880000000,6.839334,4.316407,5.408394,3.855151,8.256296,5.798015,9.362261,8.237077,-0.000874
0.888000000,6.720525,5.165536,2.598929,3.392149,6.514358,4.859779,8.516626,7.363487,-0.000874
0.896000000,4.616921,4.842308,-1.028215,0.114440,1.077136,-0.383506,1.805710,1.547127,-0.000874
0.904000000,3.269846,3.690916,-4.325143,3.252374,0.670043,2.038085,3.441070,3.708388,-0.000874
0.912000000,2.681047,5.186502,-7.015799,-0.851750,-5.352484,-3.925038,-4.145183,-3.510957,-0.000874
0.920000000,3.886601,2.487110,-2.312392,4.643129,2.904686,4.781156,6.549302,5.974480,-0.000874
0.928000000,0.762644,1.379398,0.463876,2.190089,3.704894,3.552889,5.293080,4.866768,-0.000874
0.936000000,2.527295,4.620416,-0.638594,2.462649,2.537778,3.046207,4.482389,4.022880,-0.000874
0.944000000,2.605918,6.018159,3.262857,7.843962,7.443858,7.643036,8.156707,9.486310,-0.000874
0.952000000,3.089887,7.672738,3.110853,6.381573,5.616308,4.980335,4.884240,6.792160,-0.000874
0.960000000,5.962250,1.625750,5.979721,9.930094,10.256816,11.343562,12.842642,12.400606,-0.000874
0.968000000,7.777569,5.455568,7.036765,7.559172,9.377985,9.470586,11.348804,10.073363,-0.000874
0.976000000,6.281983,6.295961,8.857326,10.918997,13.106466,13.627125,15.423226,14.703388,-0.000874
0.984000000,4.747960,3.505715,7.789799,11.754149,12.739558,13.489098,14.740079,15.002156,-0.000874
0.992000000,8.380346,1.188956,5.944778,5.355978,8.387335,6.498634,9.613854,8.612721,-0.000874
1.000000000,6.479415,1.821434,7.197505,8.100797,10.882307,10.794948,13.387762,12.033698,-0.000874
1.008000000,9.446125,3.680433,4.456181,5.874891,6.767699,6.718778,9.101931,7.627312,-0.000874
1.016000000,12.694132,2.843534,2.371796,1.087619,1.073642,-0.862233,1.279809,0.114440,-0.000874
1.024000000,11.747160,2.093994,2.328117,-1.770766,0.329343,-3.254122,-0.322355,-1.664188,-0.000874
1.032000000,10.791453,1.681660,2.516812,-5.203974,-2.530789,-6.687329,-4.491125,-6.175405,-0.000874
1.040000000,7.052490,1.161001,3.044460,-1.339213,1.952473,-0.736436,1.870356,0.294400,-0.000874
1.048000000,10.391349,2.563986,6.458449,-0.559971,4.415996,0.654319,4.005409,1.779502,-0.000874
1.056000000,8.147971,3.690916,1.547127,-1.587312,2.029349,-0.897177,2.768406,0.954834,-0.000874
1.064000000,6.689076,2.410234,4.014145,3.004275,7.471813,5.259883,9.386721,7.777569,-0.000874
1.072000000,9.662776,5.057211,2.254735,3.000781,5.483522,3.399137,7.309325,6.072322,-0.000874
1.080000000,10.036672,3.872623,3.009516,2.857512,7.667497,5.827717,11.478095,8.481682,-0.000874
1.088000000,13.655080,3.958235,3.158027,-0.020093,3.720618,-0.308377,4.436962,2.488857,-0.000874
1.096000000,7.922585,5.820728,-0.186075,-0.774874,0.757402,-1.928012,0.850003,0.350309,-0.000874
1.104000000,9.603371,6.580751,2.899444,5.901098,6.807884,5.763071,8.743759,8.210869,-0.000874
1.112000000,9.802550,4.739224,0.750414,4.070054,1.548875,1.148770,1.950726,2.336852,-0.000874
1.120000000,5.270367,2.259977,1.040445,2.085259,-0.163361,-1.271073,-1.952473,-0.441163,-0.000874
1.128000000,4.996059,2.916916,-0.596662,0.282169,-3.558131,-2.873236,-4.601197,-4.073549,-0.000874
1.136000000,9.662776,6.447965,1.709615,2.328117,-0.668296,-0.746919,-1.347949,-1.248360,-0.000874
1.144000000,2.563986,5.354231,3.152785,8.055370,6.505622,9.302857,9.105425,8.810152,-0.000874
