Var1,Var2,Var3
65.588373,1.949,NaN
65.596706,NaN,NaN
65.605039,NaN,NaN
65.613377,NaN,NaN
65.62171,NaN,NaN
65.630044,NaN,NaN
65.638377,NaN,NaN
65.646712,NaN,NaN
65.655044,NaN,NaN
65.663377,NaN,NaN
65.67171,NaN,NaN
65.680043,NaN,NaN
65.688376,NaN,NaN
65.69671,NaN,NaN
65.705044,NaN,NaN
65.713378,NaN,NaN
65.72171,NaN,NaN
65.730045,NaN,NaN
65.738376,NaN,NaN
65.746709,2.72,2.66
65.755043,2.847,NaN
65.763376,2.877,2.621
65.77171,2.902,2.672
65.780042,2.895,2.693
65.788375,2.878,2.695
65.796708,2.892,2.687
65.805042,2.887,2.692
65.813375,2.865,2.677
65.821708,2.869,2.67
65.830042,2.847,2.68
65.838374,2.848,2.673
65.846707,2.852,2.679
65.855041,2.851,2.666
65.863374,2.849,2.671
65.871715,2.838,2.654
65.880049,2.819,2.655
65.888382,2.827,2.64
65.896714,2.839,2.666
65.905048,2.819,2.629
65.913381,2.827,2.599
65.921714,2.82,2.612
65.930048,2.823,2.616
65.938381,2.816,2.615
65.946714,2.814,2.607
65.955048,2.822,2.627
65.963381,2.808,2.646
65.971714,2.808,2.636
65.980047,2.827,2.639
65.98838,2.818,2.641
65.996713,2.809,2.617
66.005047,2.809,2.61
66.01338,2.796,2.616
66.021713,2.811,2.603
66.030047,2.783,2.599
66.038379,2.773,2.585
66.046712,2.792,2.597
66.055046,2.771,2.59
66.063379,2.767,2.586
66.071712,2.743,2.545
66.080046,2.747,2.57
66.088379,2.736,2.538
66.096712,2.712,2.528
66.105045,2.682,2.504
66.113378,2.691,2.516
66.121712,2.677,2.476
66.130045,2.653,2.47
66.138385,2.631,2.471
66.146717,2.641,2.427
66.15505,2.619,2.45
66.163384,2.634,2.439
66.171717,2.624,2.401
66.18005,2.607,2.382
66.188384,2.587,2.4
66.196717,2.543,2.398
66.20505,2.579,2.389
66.213383,2.569,2.372
66.221716,2.552,2.359
66.23005,2.547,2.341
66.238383,2.525,2.353
66.246716,2.534,2.35
66.25505,2.494,2.355
66.263384,2.491,2.338
66.271717,2.514,2.336
66.28005,2.492,2.32
66.288384,2.503,2.32
66.296717,2.512,2.295
66.30505,2.498,2.31
66.313384,2.474,2.317
66.321717,2.474,2.343
66.330051,2.489,2.331
66.338384,2.484,2.306
66.346717,2.46,2.284
66.355049,2.454,2.292
66.363383,2.466,2.251
66.371716,2.453,2.317
66.380049,2.442,2.291
66.388383,2.483,2.319
66.396719,2.46,2.276
66.405052,2.46,2.3
66.413385,2.469,2.282
66.421718,2.472,2.286
66.430051,2.464,2.249
66.438385,2.467,2.315
66.446718,2.472,2.307
66.455051,2.474,2.32
66.463385,2.491,2.328
66.471717,2.463,2.325
66.48005,2.475,2.321
66.488384,2.498,2.321
66.496717,2.492,2.316
66.50505,2.501,2.373
66.513384,2.501,2.359
66.521717,2.518,2.352
66.530054,2.523,2.369
66.538388,2.519,2.384
66.546721,2.542,2.38
66.555054,2.544,2.39
66.563388,2.551,2.4
66.57172,2.543,2.403
66.580053,2.569,2.414
66.588387,2.567,2.419
66.59672,2.584,2.391
66.605053,2.558,2.41
66.613387,2.612,2.437
66.62172,2.593,2.436
66.630052,2.61,2.441
66.638386,2.634,2.456
66.646719,2.64,2.464
66.655052,2.646,2.468
66.66339,2.64,2.488
66.671724,2.659,2.494
66.680057,2.689,2.482
66.688389,2.667,2.497
66.696724,2.685,2.532
66.705057,2.699,2.544
66.71339,2.7,2.548
66.721723,2.71,2.546
66.730056,2.727,2.557
66.73839,2.737,2.563
66.746723,2.749,2.587
66.755056,2.766,2.616
66.763389,2.777,2.621
66.771723,2.8,2.623
66.780056,2.816,2.642
66.788392,2.808,2.636
66.796724,2.831,2.665
66.805059,2.829,2.671
66.813393,2.845,2.692
66.821724,2.843,2.69
66.830057,2.841,2.678
66.838391,2.883,2.72
66.846723,2.883,2.716
66.855058,2.901,2.737
66.863391,2.909,2.744
66.871723,2.899,2.742
66.880056,2.951,2.791
66.888389,2.997,2.826
66.896723,3.016,2.845
66.905055,3.021,2.834
66.913388,3.021,2.801
66.921725,2.913,NaN
66.930058,NaN,NaN
66.938391,NaN,NaN
66.946727,NaN,NaN
66.95506,NaN,NaN
66.963393,NaN,NaN
66.971727,NaN,NaN
66.98006,NaN,NaN
66.988393,NaN,NaN
66.996726,NaN,NaN
67.005057,NaN,NaN
67.013392,NaN,NaN
67.021726,NaN,NaN
67.030057,NaN,NaN
67.038392,NaN,NaN
67.046726,NaN,NaN
67.055061,NaN,NaN
67.063394,NaN,NaN
67.071728,2.95,NaN
67.080062,3.132,NaN
67.088395,3.238,NaN
67.096728,3.223,NaN
67.105061,3.223,NaN
67.113386,3.261,2.871
67.121719,3.28,2.924
67.130052,3.289,2.978
67.138392,3.3,2.986
67.146726,3.304,2.986
67.155058,3.29,3.01
67.163391,3.321,3.007
67.171725,3.321,3.038
67.180058,3.335,3.051
67.188396,3.324,3.045
67.196729,3.336,3.051
67.205063,3.365,3.002
67.213396,3.382,2.972
67.221728,3.377,2.978
67.230062,3.397,2.994
67.238395,3.377,3.039
67.246729,3.38,3.018
67.255062,3.394,3.038
67.263395,3.393,3.061
67.271729,3.409,3.044
67.280061,3.417,3.061
67.288394,3.425,3.071
67.296727,3.428,3.065
67.305061,3.44,3.084
67.313396,3.436,3.097
67.321729,3.454,3.156
67.330063,3.46,3.195
67.338395,3.465,3.184
67.346729,3.465,3.199
67.355062,3.472,3.202
67.363395,3.473,3.182
67.371728,3.477,3.2
67.380062,3.478,3.164
67.388395,3.107,NaN
67.396728,NaN,NaN
67.405062,NaN,NaN
67.413395,NaN,NaN
67.421727,NaN,NaN
67.430061,NaN,NaN
67.438394,NaN,NaN
67.44673,NaN,NaN
67.455062,NaN,NaN
67.463395,NaN,NaN
67.471728,NaN,NaN
67.480062,NaN,NaN
67.488395,NaN,NaN
67.496728,NaN,NaN
67.505062,NaN,NaN
67.513395,NaN,NaN
67.52173,NaN,NaN
67.530063,NaN,NaN
67.538396,NaN,NaN
67.546729,3.292,NaN
67.555063,3.354,NaN
67.563396,3.496,2.75
67.571729,3.58,3.164
67.580069,3.633,NaN
67.588399,3.62,NaN
67.596732,3.615,3.333
67.605066,3.626,NaN
67.613399,3.638,NaN
67.621732,3.649,3.36
67.630066,3.657,3.388
67.638399,3.662,3.393
67.646732,3.678,3.396
67.655065,3.671,3.404
67.663398,3.661,3.41
67.671731,3.673,3.396
67.680065,3.662,3.398
67.688398,3.673,3.388
67.696731,3.671,3.388
67.705068,3.678,3.382
67.7134,3.675,3.393
67.721733,3.681,3.399
67.730067,3.681,3.414
67.7384,3.682,3.411
67.746733,3.685,3.419
67.755067,3.683,3.429
67.7634,3.702,3.434
67.771732,3.693,3.42
67.780066,3.702,3.439
67.788399,3.703,3.473
67.796732,3.72,3.487
67.805066,3.719,3.493
67.813399,3.707,3.505
67.821732,3.713,3.502
67.830066,3.722,3.499
67.838402,3.728,3.512
67.846735,3.735,3.499
67.855069,3.743,3.501
67.863402,3.752,3.502
67.871735,3.747,3.48
67.880068,3.765,3.483
67.888402,3.749,3.642
67.896734,3.508,3.2
67.905067,NaN,NaN
67.913401,NaN,NaN
67.921734,NaN,NaN
67.930067,NaN,NaN
67.938401,NaN,NaN
67.946734,NaN,NaN
67.955067,NaN,NaN
67.963402,NaN,NaN
67.971739,NaN,NaN
67.98007,NaN,NaN
67.988404,NaN,NaN
67.996737,NaN,NaN
68.00507,NaN,NaN
68.013404,NaN,NaN
68.021736,NaN,NaN
68.030069,NaN,NaN
68.038403,2.442,2.978
68.046736,3.29,3.015
68.055069,3.455,3.332
68.063403,3.438,3.323
68.071736,3.47,3.304
68.080068,3.475,3.312
68.088402,3.435,3.285
68.096735,3.409,3.282
68.105072,2.169,NaN
68.113406,NaN,NaN
68.121739,NaN,NaN
68.130072,NaN,NaN
68.138406,NaN,NaN
68.146738,NaN,NaN
68.155071,NaN,NaN
68.163405,NaN,NaN
68.171738,NaN,NaN
68.180071,NaN,NaN
68.188405,NaN,NaN
68.196738,NaN,NaN
68.205071,NaN,NaN
68.213405,NaN,NaN
68.221737,NaN,NaN
68.230074,NaN,NaN
68.238408,NaN,NaN
68.246744,1.533,NaN
68.255075,NaN,NaN
68.263408,2.09,NaN
68.271741,1.686,NaN
68.280074,NaN,NaN
68.288407,NaN,NaN
68.296741,NaN,NaN
68.305074,NaN,NaN
68.313407,NaN,NaN
68.321741,NaN,NaN
68.330073,NaN,NaN
68.338407,NaN,NaN
68.34674,NaN,NaN
68.355073,NaN,NaN
68.363407,NaN,NaN
68.371741,NaN,NaN
68.380074,NaN,NaN
68.388407,NaN,NaN
68.39674,NaN,NaN
68.405073,NaN,NaN
68.413406,NaN,NaN
68.42174,NaN,NaN
68.430073,NaN,NaN
68.438407,3.296,3.12
68.44674,3.493,3.369
68.455072,3.498,3.399
68.463405,3.569,3.372
68.471739,3.568,3.354
68.480072,3.591,3.384
68.488405,3.579,3.386
68.496745,3.492,3.378
68.505078,2.414,NaN
68.51341,NaN,NaN
68.521744,NaN,NaN
68.530077,NaN,NaN
68.53841,NaN,NaN
68.546744,NaN,NaN
68.549578,NaN,NaN
