Var1,Var2
400.139,720
400.864,723
401.607,741
402.322,719
403,683
403.714,719
404.439,722
405.184,741
405.913,725
406.609,701
407.323,718
408.042,723
408.763,721
409.483,719
410.169,685
410.85,676
411.534,679
412.224,685
412.933,717
413.649,723
414.36,718
415.052,684
415.777,718
416.471,687
417.166,700
417.838,677
418.498,665
419.174,678
419.875,702
420.593,719
421.296,702
421.982,685
422.681,698
423.4,720
424.137,738
424.858,722
425.539,682
426.239,700
426.944,705
427.663,718
428.369,706
429.05,681
429.725,676
430.406,681
431.096,690
431.797,700
432.494,697
433.193,699
433.857,664
434.542,685
435.24,698
435.958,717
436.642,684
437.322,680
437.982,663
438.66,680
439.344,686
440.027,681
440.707,679
441.386,678
442.07,683
442.778,706
443.498,718
444.196,700
444.874,679
445.553,680
446.243,689
446.942,698
447.642,699
448.308,667
448.981,673
449.649,668
450.344,695
451.031,687
451.706,675
452.368,663
453.066,698
453.768,702
454.474,705
455.173,699
455.85,677
456.531,683
457.228,698
457.912,685
458.589,677
459.25,662
459.914,665
460.607,693
461.296,688
461.994,697
462.671,679
463.348,678
464.033,686
464.734,700
465.436,701
466.113,676
466.776,662
467.454,677
468.137,682
468.821,685
469.514,694
470.176,663
470.874,697
471.559,685
472.256,697
472.936,680
473.594,659
474.258,665
474.951,693
475.652,700
476.353,700
477.031,679
477.693,663
478.376,684
479.074,697
479.775,701
480.457,682
481.116,658
481.775,658
482.45,674
483.126,679
483.805,681
484.464,661
485.107,639
485.733,623
486.369,633
486.973,606
487.588,617
488.209,623
488.865,656
489.549,684
490.24,691
490.906,666
491.562,657
492.217,656
492.881,664
493.574,693
494.274,700
494.973,700
495.635,662
496.298,663
496.991,693
497.696,704
498.433,736
499.155,721
499.855,699
500.552,696
501.27,719
501.992,724
502.744,754
503.482,738
504.167,686
504.84,674
505.519,679
506.216,698
506.92,705
507.619,698
508.3,681
508.993,693
509.715,722
510.449,734
511.169,720
511.854,684
512.55,695
513.25,699
513.966,716
514.647,680
515.306,658
515.945,641
516.602,658
517.265,664
517.94,675
518.584,644
519.24,656
519.902,661
520.596,694
521.298,702
522.001,698
522.684,677
523.352,662
524.025,678
524.697,677
525.352,660
525.994,641
526.634,640
527.273,639
527.927,655
528.567,641
529.209,643
529.863,654
530.521,658
531.184,663
531.862,679
532.517,657
533.16,645
533.813,652
534.456,643
535.097,641
535.736,638
536.371,634
536.977,605
537.592,615
538.194,602
538.808,614
539.429,619
540.069,639
540.714,644
541.352,639
541.988,636
542.61,622
543.24,633
543.862,624
544.496,636
545.137,640
545.761,624
546.377,616
546.994,614
547.598,601
548.184,583
548.778,596
549.379,604
550.048,672
550.753,703
551.474,720
552.152,677
552.83,678
553.507,678
554.21,704
554.927,718
555.643,716
556.32,677
556.969,647
557.626,656
558.29,663
558.979,691
559.679,701
560.377,699
561.04,662
561.742,701
562.458,715
563.18,724
563.878,699
564.554,677
565.228,676
565.929,702
566.632,704
567.332,695
568.012,676
568.682,666
569.374,696
570.093,722
570.809,719
571.505,696
572.167,662
572.84,673
573.525,684
574.223,698
574.937,714
575.601,665
576.274,674
576.953,680
577.672,718
578.416,743
579.193,776
579.91,717
580.594,684
581.288,694
581.993,706
582.703,712
583.424,723
584.108,682
584.786,677
585.482,695
586.181,701
586.879,699
587.554,676
588.216,663
588.894,678
589.593,699
590.297,702
591.015,716
591.696,679
592.36,666
593.036,679
593.728,695
594.409,679
595.07,660
595.73,659
596.394,664
597.091,696
597.778,686
598.489,713
599.153,665
599.826,674
600.493,666
601.188,693
601.873,683
602.549,678
603.207,660
603.866,661
604.53,663
605.214,682
605.89,674
606.531,644
607.184,655
607.824,642
608.484,657
609.146,660
609.794,646
610.448,657
611.144,698
611.848,706
612.585,734
613.268,681
613.936,666
614.616,681
615.328,714
616.032,706
616.749,717
617.411,663
618.072,662
618.749,676
619.467,718
620.21,743
620.951,739
621.673,719
622.377,701
623.1,725
623.853,755
624.577,726
625.311,734
625.993,682
626.672,679
627.334,661
627.998,664
628.698,700
629.394,696
630.06,665
630.722,661
631.379,659
632.075,697
632.76,686
633.482,721
634.196,714
634.858,662
635.52,662
636.204,683
636.882,677
637.563,683
638.223,661
638.882,660
639.539,657
640.203,663
640.905,701
641.623,718
642.324,701
642.986,662
643.664,678
644.345,680
645.034,688
645.745,713
646.427,683
647.105,679
647.767,662
648.431,664
649.113,682
649.813,701
650.527,715
651.208,682
651.875,665
652.552,676
653.258,705
653.976,718
654.718,741
655.402,683
656.082,678
656.751,666
657.447,693
658.13,688
658.825,700
659.496,676
660.159,660
660.824,663
661.546,720
662.263,720
662.961,700
663.642,683
664.34,697
665.062,720
665.785,721
666.505,721
667.186,682
667.848,663
668.512,662
669.189,676
669.89,700
670.593,703
671.296,702
671.977,680
672.654,680
673.353,702
674.073,723
674.812,737
675.516,702
676.201,683
676.896,697
677.615,721
678.337,724
679.055,717
679.723,667
680.4,676
681.082,682
681.76,679
682.44,681
683.104,662
683.768,663
684.449,680
685.15,703
685.867,719
686.568,703
687.249,680
687.948,699
688.626,678
689.29,663
689.95,658
690.593,641
691.236,644
691.898,663
692.577,680
693.256,679
693.913,657
694.554,641
