Time,LF,HF,VLF,ULF,LF/HF,LF/(LF+HF),LFnorm,HFnorm,TotalPower
2024/01/28 14:38:52.659,397.6145,621.163,0,0,0.640113,0,0,0,0
2024/01/28 14:38:53.438,409.502,622.124,0,0,0.6582321,0,0,0,0
2024/01/28 14:38:54.260,419.7176,623.6185,0,0,0.6730359,0,0,0,0
2024/01/28 14:38:55.132,430.7832,625.8836,0,0,0.6882801,0,0,0,0
2024/01/28 14:38:55.976,440.2821,628.4965,0,0,0.7005324,0,0,0,0
2024/01/28 14:38:56.780,447.6914,631.0474,0,0,0.7094418,0,0,0,0
2024/01/28 14:38:57.557,453.6661,633.6478,0,0,0.7159595,0,0,0,0
2024/01/28 14:38:58.358,458.4784,636.3372,0,0,0.720496,0,0,0,0
2024/01/28 14:38:59.181,461.274,638.8456,0,0,0.722043,0,0,0,0
2024/01/28 14:39:00.003,461.9464,640.7276,0,0,0.7209716,0,0,0,0
2024/01/28 14:39:00.767,460.8193,642.4237,0,0,0.7173136,0,0,0,0
2024/01/28 14:39:01.501,457.7361,643.7612,0,0,0.7110341,0,0,0,0
2024/01/28 14:39:02.261,453.2316,644.6516,0,0,0.7030644,0,0,0,0
2024/01/28 14:39:03.038,446.4599,645.2753,0,0,0.6918907,0,0,0,0
2024/01/28 14:39:03.800,438.4922,645.5421,0,0,0.679262,0,0,0,0
2024/01/28 14:39:04.523,429.2778,645.5311,0,0,0.6649993,0,0,0,0
2024/01/28 14:39:05.243,419.7719,645.3503,0,0,0.6504559,0,0,0,0
2024/01/28 14:39:05.996,408.1032,645.0505,0,0,0.6326687,0,0,0,0
2024/01/28 14:39:06.739,396.0918,644.7982,0,0,0.614288,0,0,0,0
2024/01/28 14:39:07.498,382.7346,644.6156,0,0,0.5937408,0,0,0,0
2024/01/28 14:39:08.221,370.4048,644.6723,0,0,0.5745629,0,0,0,0
2024/01/28 14:39:08.917,356.5036,644.9468,0,0,0.5527643,0,0,0,0
2024/01/28 14:39:09.624,343.8187,645.4708,0,0,0.5326634,0,0,0,0
2024/01/28 14:39:10.364,331.1777,646.29,0,0,0.5124289,0,0,0,0
2024/01/28 14:39:11.141,318.1254,647.4575,0,0,0.4913456,0,0,0,0
2024/01/28 14:39:11.925,305.3959,649.0382,0,0,0.470536,0,0,0,0
2024/01/28 14:39:12.686,293.4562,651.0397,0,0,0.4507501,0,0,0,0
2024/01/28 14:39:13.404,283.3299,653.1062,0,0,0.433819,0,0,0,0
2024/01/28 14:39:14.146,272.9512,655.7906,0,0,0.4162171,0,0,0,0
2024/01/28 14:39:14.905,264.1965,658.5677,0,0,0.4011682,0,0,0,0
2024/01/28 14:39:15.685,255.9734,661.6843,0,0,0.3868512,0,0,0,0
2024/01/28 14:39:16.431,249.3089,664.6872,0,0,0.3750771,0,0,0,0
2024/01/28 14:39:17.143,242.6353,668.1869,0,0,0.3631249,0,0,0,0
2024/01/28 14:39:17.861,237.6017,671.146,0,0,0.3540238,0,0,0,0
2024/01/28 14:39:18.601,232.5651,674.3306,0,0,0.3448829,0,0,0,0
2024/01/28 14:39:19.346,227.9514,677.4148,0,0,0.3365019,0,0,0,0
2024/01/28 14:39:20.093,224.0426,680.0491,0,0,0.3294507,0,0,0,0
2024/01/28 14:39:20.824,220.7772,682.1655,0,0,0.3236416,0,0,0,0
2024/01/28 14:39:21.508,218.0714,683.7338,0,0,0.3189419,0,0,0,0
2024/01/28 14:39:22.245,215.8134,684.7107,0,0,0.3151892,0,0,0,0
2024/01/28 14:39:22.985,213.9184,685.055,0,0,0.3122645,0,0,0,0
2024/01/28 14:39:23.766,212.4577,684.3643,0,0,0.3104453,0,0,0,0
2024/01/28 14:39:24.547,211.7821,682.8614,0,0,0.3101392,0,0,0,0
2024/01/28 14:39:25.287,211.503,680.2881,0,0,0.3109021,0,0,0,0
2024/01/28 14:39:25.991,211.5424,676.9811,0,0,0.3124791,0,0,0,0
2024/01/28 14:39:26.748,211.9906,671.97,0,0,0.3154763,0,0,0,0
2024/01/28 14:39:27.530,212.7076,666.4555,0,0,0.3191625,0,0,0,0
2024/01/28 14:39:28.327,213.8019,659.5234,0,0,0.3241763,0,0,0,0
2024/01/28 14:39:29.125,214.9441,651.9348,0,0,0.3297018,0,0,0,0
2024/01/28 14:39:29.872,216.0851,642.9845,0,0,0.3360658,0,0,0,0
2024/01/28 14:39:30.579,216.8997,635.0294,0,0,0.3415585,0,0,0,0
2024/01/28 14:39:31.307,217.7519,624.8154,0,0,0.348506,0,0,0,0
2024/01/28 14:39:32.058,218.328,615.5032,0,0,0.3547146,0,0,0,0
2024/01/28 14:39:32.853,218.6823,604.8846,0,0,0.3615272,0,0,0,0
2024/01/28 14:39:33.668,218.5628,593.8252,0,0,0.3680591,0,0,0,0
2024/01/28 14:39:34.463,217.8722,582.1014,0,0,0.3742856,0,0,0,0
2024/01/28 14:39:35.242,216.766,572.0525,0,0,0.3789268,0,0,0,0
2024/01/28 14:39:36.043,215.0741,562.2482,0,0,0.3825252,0,0,0,0
2024/01/28 14:39:36.842,212.4603,552.5393,0,0,0.3845161,0,0,0,0
2024/01/28 14:39:37.608,209.2889,544.3044,0,0,0.3845071,0,0,0,0
2024/01/28 14:39:38.340,205.9552,537.8788,0,0,0.3829027,0,0,0,0
2024/01/28 14:39:39.062,202.22,532.4951,0,0,0.3797595,0,0,0,0
2024/01/28 14:39:39.803,198.1677,528.3012,0,0,0.3751036,0,0,0,0
2024/01/28 14:39:40.564,193.3397,524.9952,0,0,0.3682696,0,0,0,0
2024/01/28 14:39:41.317,188.3028,523.075,0,0,0.359992,0,0,0,0
2024/01/28 14:39:42.019,183.8061,522.5659,0,0,0.3517377,0,0,0,0
2024/01/28 14:39:42.700,179.4841,523.2009,0,0,0.3430501,0,0,0,0
2024/01/28 14:39:43.396,175.7694,524.7686,0,0,0.3349464,0,0,0,0
2024/01/28 14:39:44.099,171.93,527.7199,0,0,0.3257979,0,0,0,0
2024/01/28 14:39:44.835,168.9069,531.4558,0,0,0.3178192,0,0,0,0
2024/01/28 14:39:45.597,166.201,537.0909,0,0,0.3094466,0,0,0,0
2024/01/28 14:39:46.358,164.7798,543.2793,0,0,0.3033058,0,0,0,0
2024/01/28 14:39:47.101,164.5576,550.3645,0,0,0.2989975,0,0,0,0
2024/01/28 14:39:47.897,165.8547,558.8993,0,0,0.2967525,0,0,0,0
2024/01/28 14:39:48.755,169.1381,568.7995,0,0,0.2973598,0,0,0,0
2024/01/28 14:39:49.581,174.2205,578.5236,0,0,0.3011467,0,0,0,0
2024/01/28 14:39:50.359,181.6913,588.6463,0,0,0.3086595,0,0,0,0
2024/01/28 14:39:51.096,190.6036,597.7788,0,0,0.318853,0,0,0,0
2024/01/28 14:39:51.852,200.9688,606.2096,0,0,0.331517,0,0,0,0
2024/01/28 14:39:52.610,215.7454,615.8042,0,0,0.3503474,0,0,0,0
2024/01/28 14:39:53.373,231.7983,624.0975,0,0,0.3714137,0,0,0,0
2024/01/28 14:39:54.115,247.9912,630.8817,0,0,0.3930868,0,0,0,0
2024/01/28 14:39:54.831,267.2246,637.4554,0,0,0.4192053,0,0,0,0
2024/01/28 14:39:55.555,290.0258,643.5654,0,0,0.4506548,0,0,0,0
2024/01/28 14:39:56.308,314.1,648.5178,0,0,0.4843352,0,0,0,0
2024/01/28 14:39:57.087,342.4826,652.7192,0,0,0.5247013,0,0,0,0
2024/01/28 14:39:57.851,368.2103,655.2772,0,0,0.5619153,0,0,0,0
2024/01/28 14:39:58.603,400.6712,657.1252,0,0,0.6097334,0,0,0,0
2024/01/28 14:39:59.387,436.0481,657.6615,0,0,0.6630281,0,0,0,0
2024/01/28 14:40:00.170,468.6383,657.0164,0,0,0.7132825,0,0,0,0
2024/01/28 14:40:00.948,504.4756,655.234,0,0,0.7699167,0,0,0,0
2024/01/28 14:40:01.688,539.9578,652.5564,0,0,0.8274501,0,0,0,0
2024/01/28 14:40:02.411,577.3568,648.7924,0,0,0.8898945,0,0,0,0
2024/01/28 14:40:03.149,616.0606,643.9922,0,0,0.9566274,0,0,0,0
2024/01/28 14:40:03.902,653.9958,638.4453,0,0,1.024357,0,0,0,0
2024/01/28 14:40:04.647,689.6962,632.4413,0,0,1.09053,0,0,0,0
2024/01/28 14:40:05.403,724.5091,625.8389,0,0,1.157661,0,0,0,0
2024/01/28 14:40:06.126,759.8268,618.3312,0,0,1.228835,0,0,0,0
2024/01/28 14:40:06.826,788.7999,611.4685,0,0,1.290009,0,0,0,0
2024/01/28 14:40:07.548,821.1518,602.9173,0,0,1.361964,0,0,0,0
2024/01/28 14:40:08.300,849.9195,594.3386,0,0,1.430026,0,0,0,0
