Time,RRI,HR
0,855,70.1754385964912
0.5,855.153256704981,70.162862071283
1,855.306513409962,70.1502900530831
1.5,855.459770114943,70.1377225394693
2,855.613026819923,70.125159528021
2.5,855.766283524904,70.1126010163193
3,855.919540229885,70.1000470019472
3.5,856.072796934866,70.0874974824893
4,856.226053639847,70.0749524555319
4.5,856.379310344828,70.0624119186632
5,856.532567049808,70.0498758694728
5.5,856.685823754789,70.0373443055525
6,856.83908045977,70.0248172244953
6.5,856.992337164751,70.0122946238963
7,857.145593869732,69.9997765013522
7.5,857.298850574713,69.9872628544613
8,857.452107279693,69.974753680824
8.5,857.605363984674,69.9622489780419
9,857.758620689655,69.9497487437186
9.5,857.911877394636,69.9372529754594
10,858.065134099617,69.9247616708714
10.5,858.218390804598,69.9122748275631
11,858.371647509578,69.899792443145
11.5,858.524904214559,69.8873145152293
12,858.67816091954,69.8748410414296
12.5,858.831417624521,69.8623720193616
13,858.984674329502,69.8499074466424
13.5,859.137931034483,69.837447320891
14,859.291187739464,69.824991639728
14.5,859.444444444444,69.8125404007757
15,859.597701149425,69.8000936016581
15.5,859.750957854406,69.7876512400009
16,859.904214559387,69.7752133134315
16.5,860.057471264368,69.762779819579
17,860.210727969349,69.7503507560742
17.5,860.36398467433,69.7379261205495
18,860.51724137931,69.7255059106392
18.5,860.670498084291,69.7130901239789
19,860.823754789272,69.7006787582063
19.5,860.977011494253,69.6882718109606
20,861.130268199234,69.6758692798825
20.5,861.283524904215,69.6634711626148
21,861.436781609195,69.6510774568017
21.5,861.590038314176,69.6386881600889
22,861.743295019157,69.6263032701243
22.5,861.896551724138,69.6139227845569
23,862.049808429119,69.6015467010378
23.5,862.2030651341,69.5891750172195
24,862.35632183908,69.5768077307564
24.5,862.509578544061,69.5644448393044
25,862.662835249042,69.552086340521
25.5,862.816091954023,69.5397322320655
26,862.969348659004,69.527382511599
26.5,863.122605363985,69.5150371767839
27,863.275862068966,69.5026962252846
27.5,863.429118773946,69.4903596547669
28,863.582375478927,69.4780274628985
28.5,863.735632183908,69.4656996473485
29,863.888888888889,69.4533762057878
29.5,864.04214559387,69.441057135889
30,864.195402298851,69.4287424353262
30.5,864.348659003831,69.4164321017753
31,864.501915708812,69.4041261329138
31.5,864.655172413793,69.3918245264207
32,864.808429118774,69.379527279977
32.5,864.961685823755,69.3672343912649
33,865.114942528736,69.3549458579685
33.5,865.268199233716,69.3426616777736
34,865.421455938697,69.3303818483675
34.5,865.574712643678,69.3181063674391
35,865.727969348659,69.3058352326791
35.5,865.88122605364,69.2935684417797
36,866.034482758621,69.2813059924348
36.5,866.187739463601,69.2690478823399
37,866.340996168582,69.2567941091922
37.5,866.494252873563,69.2445446706905
38,866.647509578544,69.232299564535
38.5,866.800766283525,69.220058788428
39,866.954022988506,69.2078223400729
39.5,867.107279693487,69.1955902171752
40,867.260536398467,69.1833624174416
40.5,867.413793103448,69.1711389385808
41,867.567049808429,69.1589197783028
41.5,867.72030651341,69.1467049343195
42,867.873563218391,69.1344944043441
42.5,868.026819923372,69.1222881860917
43,868.180076628352,69.1100862772788
43.5,868.333333333333,69.0978886756238
44,868.486590038314,69.0856953788464
44.5,868.639846743295,69.073506384668
45,868.793103448276,69.0613216908117
45.5,868.946360153257,69.0491412950021
46,869.099616858238,69.0369651949655
46.5,869.252873563218,69.0247933884297
47,869.406130268199,69.0126258731243
47.5,869.55938697318,69.0004626467802
48,869.712643678161,68.9883037071301
48.5,869.865900383142,68.9761490519083
49,870.019157088123,68.9639986788506
49.5,870.172413793103,68.9518525856945
50,870.325670498084,68.9397107701789
50.5,870.478927203065,68.9275732300447
51,870.632183908046,68.9154399630339
51.5,870.785440613027,68.9033109668903
52,870.938697318008,68.8911862393595
52.5,871.017142857143,68.884981761881
53,871.045714285714,68.8827222451831
53.5,871.074285714286,68.8804628767105
54,871.102857142857,68.8782036564486
54.5,871.131428571429,68.8759445843829
55,871.16,68.8736856604987
55.5,871.188571428571,68.8714268847814
56,871.217142857143,68.8691682572165
56.5,871.245714285714,68.8669097777894
57,871.274285714286,68.8646514464856
57.5,871.302857142857,68.8623932632904
58,871.331428571429,68.8601352281894
58.5,871.36,68.8578773411678
59,871.388571428571,68.8556196022113
59.5,871.417142857143,68.8533620113051
60,871.445714285714,68.8511045684347
60.5,871.474285714286,68.8488472735856
61,871.502857142857,68.8465901267433
61.5,871.531428571429,68.8443331278931
62,871.56,68.8420762770205
62.5,871.588571428571,68.839819574111
63,871.617142857143,68.83756301915
63.5,871.645714285714,68.8353066121229
64,871.674285714286,68.8330503530152
64.5,871.702857142857,68.8307942418124
65,871.731428571429,68.8285382784999
65.5,871.76,68.8262824630632
66,871.788571428571,68.8240267954878
66.5,871.817142857143,68.821771275759
67,871.845714285714,68.8195159038624
67.5,871.874285714286,68.8172606797835
68,871.902857142857,68.8150056035076
68.5,871.931428571429,68.8127506750203
69,871.96,68.8104958943071
69.5,871.988571428571,68.8082412613534
70,872.017142857143,68.8059867761446
70.5,872.045714285714,68.8037324386664
71,872.074285714286,68.8014782489041
71.5,872.102857142857,68.7992242068432
72,872.131428571429,68.7969703124693
72.5,872.16,68.7947165657678
73,872.188571428571,68.7924629667241
73.5,872.217142857143,68.7902095153238
74,872.245714285714,68.7879562115525
74.5,872.274285714286,68.7857030553954
75,872.302857142857,68.7834500468383
75.5,872.331428571429,68.7811971858664
76,872.36,68.7789444724655
76.5,872.388571428571,68.7766919066209
77,872.417142857143,68.7744394883182
77.5,872.445714285714,68.7721872175428
78,872.474285714286,68.7699350942803
78.5,872.502857142857,68.7676831185162
79,872.531428571429,68.765431290236
79.5,872.56,68.7631796094251
80,872.588571428571,68.7609280760692
80.5,872.617142857143,68.7586766901538
81,872.645714285714,68.7564254516642
81.5,872.674285714286,68.7541743605862
82,872.702857142857,68.7519234169051
82.5,872.731428571429,68.7496726206066
83,872.76,68.7474219716761
83.5,872.788571428571,68.7451714700991
84,872.817142857143,68.7429211158613
84.5,872.845714285714,68.7406709089481
85,872.874285714286,68.738420849345
85.5,872.902857142857,68.7361709370377
86,872.931428571429,68.7339211720115
86.5,872.96,68.7316715542522
87,872.988571428571,68.7294220837452
87.5,873.017142857143,68.727172760476
88,873.045714285714,68.7249235844302
88.5,873.074285714286,68.7226745555934
89,873.102857142857,68.720425673951
89.5,873.131428571429,68.7181769394887
90,873.16,68.715928352192
90.5,873.188571428571,68.7136799120465
91,873.217142857143,68.7114316190377
91.5,873.245714285714,68.7091834731511
92,873.274285714286,68.7069354743723
92.5,873.302857142857,68.7046876226869
93,873.331428571429,68.7024399180805
93.5,873.36,68.7001923605386
94,873.388571428571,68.6979449500468
94.5,873.417142857143,68.6956976865906
95,873.445714285714,68.6934505701556
95.5,873.474285714286,68.6912036007275
96,873.502857142857,68.6889567782917
96.5,873.531428571429,68.6867101028338
97,873.56,68.6844635743395
97.5,873.588571428571,68.6822171927943
98,873.617142857143,68.6799709581837
98.5,873.645714285714,68.6777248704934
99,873.674285714286,68.675478929709
99.5,873.702857142857,68.673233135816
100,873.731428571429,68.6709874888001
100.5,873.76,68.6687419886468
101,873.788571428571,68.6664966353417
101.5,873.817142857143,68.6642514288704
102,873.845714285714,68.6620063692185
102.5,873.874285714286,68.6597614563716
103,873.902857142857,68.6575166903154
103.5,873.931428571429,68.6552720710353
104,873.96,68.6530275985171
104.5,873.988571428571,68.6507832727463
105,873.644607843137,68.6778118486058
105.5,873.052287581699,68.724406147765
106,872.459967320262,68.7710637134314
106.5,871.867647058824,68.8177846745492
107,871.275326797386,68.864569160413
107.5,870.683006535948,68.9114173006692
108,870.09068627451,68.9583292253174
108.5,869.498366013072,69.0053050647113
109,868.906045751634,69.05234494956
109.5,868.313725490196,69.0994490109294
110,867.721405228758,69.1466173802433
110.5,867.12908496732,69.1938501892844
111,866.536764705882,69.2411475701958
111.5,865.944444444444,69.2885096554821
112,865.352124183007,69.3359365780109
112.5,864.759803921569,69.3834284710137
113,864.167483660131,69.4309854680872
113.5,863.575163398693,69.4786077031947
114,862.982843137255,69.5262953106672
114.5,862.390522875817,69.5740484252051
115,861.798202614379,69.6218671818786
115.5,861.205882352941,69.6697517161299
116,860.613562091503,69.7177021637739
116.5,860.021241830065,69.7657186609998
117,859.428921568627,69.813801344372
117.5,858.83660130719,69.8619503508318
118,858.244281045752,69.9101658176986
118.5,857.651960784314,69.958447882671
119,857.059640522876,70.0067966838284
119.5,856.467320261438,70.055212359632
120,855.875,70.1036950489265
120.5,855.282679738562,70.1522448909411
121,854.690359477124,70.200862025291
121.5,854.098039215686,70.2495465919787
122,853.505718954248,70.2982987313952
122.5,852.91339869281,70.3471185843217
123,852.321078431373,70.3960062919306
123.5,851.728758169935,70.4449619957871
124,851.136437908497,70.4939858378504
124.5,850.544117647059,70.5430779604751
125,849.951797385621,70.5922385064128
125.5,849.359477124183,70.6414676188131
126,848.767156862745,70.6907654412253
126.5,848.174836601307,70.7401321175997
127,847.582516339869,70.7895677922889
127.5,846.990196078431,70.8390726100494
128,846.397875816993,70.8886467160429
128.5,845.805555555556,70.9382902558376
129,845.213235294118,70.98800337541
129.5,844.62091503268,71.0377862211457
130,844.028594771242,71.0876389398417
130.5,843.436274509804,71.137561678707
131,842.843954248366,71.1875545853645
131.5,842.251633986928,71.2376178078524
132,841.65931372549,71.2877514946258
132.5,841.066993464052,71.3379557945576
133,840.474673202614,71.3882308569407
133.5,839.882352941176,71.438576831489
134,839.290032679738,71.4889938683392
134.5,838.697712418301,71.5394821180518
135,838.105392156863,71.5900417316134
135.5,837.513071895425,71.6406728604372
136,836.920751633987,71.6913756563656
136.5,836.328431372549,71.7421502716707
137,835.736111111111,71.7929968590564
137.5,835.143790849673,71.84391557166
138,834.551470588235,71.8949065630534
138.5,833.959150326797,71.9459699872449
139,833.36683006536,71.9971059986804
139.5,832.774509803922,72.0483147522456
140,832.182189542484,72.0995964032669
140.5,831.589869281046,72.1509511075132
141,830.997549019608,72.2023790211977
141.5,830.40522875817,72.2538803009791
142,829.812908496732,72.3054551039637
142.5,829.220588235294,72.3571035877064
143,828.628267973856,72.4088259102127
143.5,828.035947712418,72.4606222299401
144,827.44362745098,72.5124927058001
144.5,826.851307189542,72.5644374971593
145,826.258986928105,72.6164567638413
145.5,825.666666666667,72.6685506661284
146,825.074346405229,72.7207193647631
146.5,824.482026143791,72.77296302095
147,823.889705882353,72.825281796357
147.5,823.297385620915,72.8776758531173
148,822.705065359477,72.9301453538314
148.5,822.112745098039,72.9826904615678
149,821.520424836601,73.0353113398658
149.5,820.928104575163,73.0880081527364
150,820.335784313725,73.1407810646645
150.5,819.743464052288,73.1936302406101
151,819.15114379085,73.2465558460107
151.5,818.558823529412,73.2995580467824
152,817.966503267974,73.3526370093219
152.5,817.374183006536,73.4057929005084
153,816.781862745098,73.4590258877049
153.5,816.18954248366,73.5123361387605
154,815.879432624113,73.5402776449726
154.5,815.702127659574,73.5562627158433
155,815.524822695035,73.5722547374097
