timestamp,eyeleft_pupildiameter,eyeright_pupildiameter
0.006104,3.12283653857398,3.50478578712547
0.016091,3.12072563263291,3.5061192728648
0.026162,3.11956833076107,3.50812543302896
0.036187,3.12145746229743,3.50765975228865
0.046177,3.1245422188417,3.50604923400293
0.056164,3.12696312730728,3.5068900051397
0.066234,3.12975046551992,3.50849354024773
0.076258,3.13257196323941,3.50991905426434
0.08625,3.13409725704425,3.51199129900557
0.096237,3.13204500452769,3.51386666293865
0.106308,3.12794892440478,3.51643448651378
0.116331,3.12767248391609,3.5189057460844
0.126322,3.13087845529094,3.52059583892003
0.136309,3.13324738350265,3.52325002256443
0.14638,3.1336735043636,3.52745960090727
0.156404,3.13300068712697,3.53152871622835
0.166394,3.13243683012738,3.53263228834451
0.176381,3.13265997899034,3.53062958454903
0.186452,3.13315298835296,3.52843280979666
0.196476,3.13540351756599,3.52809438059931
0.206467,3.13998034453284,3.5273563881632
0.216454,3.14405280102881,3.52464624255578
0.226525,3.14509289873914,3.52191974271743
0.236549,3.14174449678012,3.51990918425336
0.246539,3.13742350403225,3.51871216809171
0.256527,3.1362196573461,3.5182903697537
0.266597,3.13474049355047,3.5188149861853
0.276621,3.13102799761044,3.51978339068433
0.286612,3.12769770284746,3.51904357386384
0.296598,3.12555655202512,3.51728101848022
0.30667,3.12442760906056,3.51630056947035
0.316694,3.12252909764483,3.51752918083566
0.326685,3.1207604197966,3.521828479611
0.336671,3.12276364443854,3.52694643000737
0.346742,3.12551516414999,3.53098315755433
0.356767,3.1264373759786,3.53457288634051
0.366757,3.12815585209583,3.53864032265965
0.376744,3.12977916559378,3.54407931500929
0.386814,3.12944447155041,3.55187805388546
0.396839,3.12894277207879,3.55955855358351
0.406829,3.12855226341196,3.5655353998716
0.416816,3.12611717061714,3.57124947159486
0.426887,3.12267889862159,3.57593565721518
0.436911,3.12133182860435,3.57872424077841
0.446902,3.12323101812115,3.57988402363675
0.45689,3.12630706235508,3.57982726243753
0.46696,3.12721552451207,3.57928808292466
0.476984,3.12692962440392,3.57883454954609
0.486974,3.12773975191501,3.57769666716917
0.496961,3.12640127381099,3.5762065634773
0.507033,3.12359109887206,3.57563962699527
0.517056,3.12450029259583,3.57548399436791
0.527047,3.12609201952713,3.57457093304941
0.537034,3.12290604434141,3.57265973969458
0.547105,3.11682620925018,3.57049077529632
0.55713,3.11085899285039,3.56864505417314
0.567119,3.10647475396633,3.56631724031811
0.577105,3.10318330869464,3.56165460144178
0.587178,3.09779281703652,3.55519289598882
0.597202,3.09326866432031,3.54856546488622
0.607192,3.09074048614415,3.54289451535479
0.617179,3.08430500671985,3.53737424368206
0.727409,3.07508115374248,3.53225855575608
0.737396,3.069423895342,3.52901790535211
0.747467,3.06611230983249,3.52513903015762
0.757492,3.06309707789818,3.52010700735407
0.767482,3.06095495748147,3.51641039626902
0.777468,3.05891173909975,3.51405420750181
0.78754,3.05832995653362,3.51168839320282
0.797564,3.04838426296185,3.52226338833984
0.837636,3.09030394155248,3.62814347561657
0.847627,3.06145919427262,3.5316417155087
0.857613,3.06321531766122,3.52835050909073
0.867685,3.06551106510644,3.52192856386856
0.877709,3.06790962380819,3.5167492626543
0.887699,3.06900076077462,3.51379944181955
0.897687,3.06759063232039,3.51217021819769
0.907758,3.06678297317407,3.51329153272055
0.917782,3.0678085331642,3.51671505114797
0.927772,3.06783677375031,3.51745269410718
0.937759,3.06056185582549,3.49812622451033
0.94783,3.05759811913326,3.49616792193249
0.957854,3.0554278510175,3.49416402467011
0.967844,3.05255594529352,3.4955379816294
0.977831,3.05063342122619,3.49781724142626
0.987902,3.05066686010061,3.49866110552854
